,rb,rnb,x_equi,y_equi
506,1.2000000000000002,-0.8999999999999999,113.28055593834635,36.71944406165387
507,1.2000000000000002,-0.8499999999999999,131.73575476232037,43.26424523767979
508,1.2000000000000002,-0.7999999999999998,150.05623575504927,49.94376424495098
509,1.2000000000000002,-0.7499999999999998,168.23630455257745,56.76369544742282
510,1.2000000000000002,-0.6999999999999997,186.26990426317937,63.73009573682088
511,1.2000000000000002,-0.6499999999999997,204.1505847602008,70.84941523979944
512,1.2000000000000002,-0.5999999999999996,221.87146874510077,78.1285312548995
513,1.2000000000000002,-0.5499999999999996,239.4252141779933,85.57478582200699
514,1.2000000000000002,-0.49999999999999956,256.80397261562575,93.19602738437466
515,1.2000000000000002,-0.4499999999999995,273.99934293036046,101.00065706963987
516,1.2000000000000002,-0.39999999999999947,291.00231980686453,108.99768019313588
517,1.2000000000000002,-0.3499999999999994,307.80323632411967,117.19676367588072
518,1.2000000000000002,-0.2999999999999994,324.3916998270677,125.6083001729327
519,1.2000000000000002,-0.24999999999999933,340.7565201723989,134.24347982760156
520,1.2000000000000002,-0.1999999999999993,356.8856292941101,143.11437070589042
521,1.2000000000000002,-0.14999999999999925,372.7659908736016,152.23400912639883
522,1.2000000000000002,-0.0999999999999992,388.38349871310754,161.6165012868929
523,1.2000000000000002,-0.049999999999999156,403.72286219683645,171.27713780316398
524,1.2000000000000002,8.881784197001252e-16,418.76747697803415,181.2325230219663
525,1.25,-1.0,95.88205309236487,29.11794690763519
526,1.25,-0.95,114.72746783932303,35.272532160676995
527,1.25,-0.8999999999999999,133.45238978244404,41.54761021755597
528,1.25,-0.8499999999999999,152.05194191474163,47.94805808525849
529,1.25,-0.7999999999999998,170.5209482458177,54.47905175418248
530,1.25,-0.7499999999999998,188.85390927497497,61.146090725025225
531,1.25,-0.6999999999999997,207.04497494875116,67.955025051249
532,1.25,-0.6499999999999997,225.08791479426947,74.91208520573063
533,1.25,-0.5999999999999996,242.97608487598123,82.0239151240189
534,1.25,-0.5499999999999996,260.7023911725554,89.29760882744479
535,1.25,-0.49999999999999956,278.25924891162185,96.74075108837839
536,1.25,-0.4499999999999995,295.6385373313472,104.36146266865308
537,1.25,-0.39999999999999947,312.83154925769725,112.16845074230297
538,1.25,-0.3499999999999994,329.82893479268324,120.17106520731691
539,1.25,-0.2999999999999994,346.6206382994924,128.37936170050787
540,1.25,-0.24999999999999933,363.195827742334,136.80417225766632
541,1.25,-0.1999999999999993,379.54281528875833,145.45718471124204
542,1.25,-0.14999999999999925,395.6489679062278,154.3510320937726
543,1.25,-0.0999999999999992,411.50060647834,163.4993935216604
544,1.25,-0.049999999999999156,427.082891724141,172.91710827585945
545,1.25,8.881784197001252e-16,442.37969492061796,182.6203050793825
546,1.3,-1.0,116.13219759580346,33.867802404196645
547,1.3,-0.95,135.11841422624178,39.88158577375824
548,1.3,-0.8999999999999999,153.98813553460303,46.01186446539704
549,1.3,-0.8499999999999999,172.73667095036575,52.26332904963441
550,1.3,-0.7999999999999998,191.35904268729573,58.64095731270432
551,1.3,-0.7499999999999998,209.84996211825927,65.15003788174094
552,1.3,-0.6999999999999997,228.2038037101322,71.79619628986794
553,1.3,-0.6499999999999997,246.41457621589058,78.58542378410962
554,1.3,-0.5999999999999996,264.47589077714656,85.52410922285368
555,1.3,-0.5499999999999996,282.3809255393923,92.61907446060788
556,1.3,-0.49999999999999956,300.1223863226873,99.87761367731294
557,1.3,-0.4499999999999995,317.6924628209225,107.30753717907776
558,1.3,-0.39999999999999947,335.0827797212245,114.91722027877586
559,1.3,-0.3499999999999994,352.2843420392566,122.71565796074366
560,1.3,-0.2999999999999994,369.28747385342643,130.71252614657388
561,1.3,-0.24999999999999933,386.0817494880368,138.91825051196375
562,1.3,-0.1999999999999993,402.65591603831814,147.34408396168234
563,1.3,-0.14999999999999925,418.9978059443306,156.00219405566978
564,1.3,-0.0999999999999992,435.0942381002958,164.9057618997047
565,1.3,-0.049999999999999156,450.9309057243021,174.0690942756983
566,1.3,8.881784197001252e-16,466.4922489025438,183.50775109745663
567,1.35,-1.0,136.7337564362935,38.26624356370659
568,1.35,-0.95,155.8647366613013,44.13526333869882
569,1.35,-0.8999999999999999,174.88338413259814,50.11661586740202
570,1.35,-0.8499999999999999,193.785206600454,56.21479339954611
571,1.35,-0.7999999999999998,212.5654375597285,62.43456244027155
572,1.35,-0.7499999999999998,231.21901367759025,68.78098632240993
573,1.35,-0.6999999999999997,249.74054987997903,75.25945012002113
574,1.35,-0.6499999999999997,268.12431180362717,81.87568819637302
575,1.35,-0.5999999999999996,286.36418527745377,88.63581472254646
576,1.35,-0.5499999999999996,304.4536424469386,95.54635755306163
577,1.35,-0.49999999999999956,322.38570409629784,102.61429590370241
578,1.35,-0.4499999999999995,340.15289765429486,109.84710234570562
579,1.35,-0.39999999999999947,357.74721028834045,117.25278971165983
580,1.35,-0.3499999999999994,375.1600363957724,124.83996360422792
581,1.35,-0.2999999999999994,392.38211868791973,132.61788131208064
582,1.35,-0.24999999999999933,409.4034819282362,140.59651807176408
583,1.35,-0.1999999999999993,426.2133582260611,148.78664177393924
584,1.35,-0.14999999999999925,442.80010259718534,157.19989740281514
585,1.35,-0.0999999999999992,459.15109727490363,165.84890272509682
586,1.35,-0.049999999999999156,475.2526429827374,174.747357017263
587,1.35,8.881784197001252e-16,491.0898350529007,183.9101649470997
588,1.4000000000000001,-1.0,157.6818634646996,42.31813653530047
589,1.4000000000000001,-0.95,176.96123752784015,48.03876247216001
590,1.4000000000000001,-0.8999999999999999,196.1325866170156,53.86741338298457
591,1.4000000000000001,-0.8499999999999999,215.1916271207947,59.808372879205464
592,1.4000000000000001,-0.7999999999999998,234.13381517090454,65.86618482909566
593,1.4000000000000001,-0.7499999999999998,252.9543252559635,72.04567474403672
594,1.4000000000000001,-0.6999999999999997,271.64802661315053,78.35197338684975
595,1.4000000000000001,-0.6499999999999997,290.20945711805103,84.79054288194932
596,1.4000000000000001,-0.5999999999999996,308.6327943514913,91.36720564850897
597,1.4000000000000001,-0.5499999999999996,326.91182347369005,98.08817652631016
598,1.4000000000000001,-0.49999999999999956,345.0399014791558,104.96009852084447
599,1.4000000000000001,-0.4499999999999995,363.00991733880505,111.99008266119529
600,1.4000000000000001,-0.39999999999999947,380.8142474567532,119.18575254324718
