Realisation number,Variable,index,Coefficient of variation,Lag-1 AC,Variance,Smax,Smax/Var,Lag-3 AC,Standard deviation,Skewness,Kurtosis,Smax/Mean,Lag-2 AC,Cross correlation
62,Breeding,0,0.6321180309263725,0.9345155341183148,-0.9936444885799406,-0.8974358974358972,-0.05128205128205127,0.6985671726486027,-0.9936444885799406,-0.4067811037026529,0.8213647325861825,-0.5128205128205127,-0.09791459781529295,0.4782510908191265
63,Non-breeding,0,0.9561356220740532,0.9820116328557243,-0.9812739395658959,-0.07692307692307691,0.7435897435897434,0.7250106398070649,-0.9812739395658959,-0.2180451127819549,0.8339055185132644,0.6923076923076922,0.8219321889629736,0.4625972740767397
63,Breeding,0,0.8915023407575544,0.9508582777698965,-0.9885373811888212,-0.3846153846153845,0.5384615384615383,0.5989218328840971,-0.9885373811888212,0.028798411122144988,0.8483756561214358,0.33333333333333326,0.8180167399631154,0.4625972740767397
64,Non-breeding,0,0.6059582919563059,0.9816711590296497,-0.9795715704355228,-0.7435897435897434,0.282051282051282,0.5954603489856718,-0.9795715704355228,0.19211235636260462,-0.2762093914030359,0.10256410256410255,0.2331394524045964,-0.5641971421288591
64,Breeding,0,0.14228968648035184,0.923677117321606,-0.992793304014754,-0.9999999999999998,0.025641025641025637,0.4270960419917719,-0.992793304014754,0.3760249680805788,0.4462760675273089,-0.6153846153846153,-0.5161866931479643,-0.5641971421288591
65,Non-breeding,0,0.9361044119733296,0.9512554972336502,-0.9846219321889631,-0.846153846153846,0.46153846153846145,0.8120017023691304,-0.9846219321889631,0.5959143140871046,0.36910200028372825,0.05128205128205127,0.7057738686338488,0.04156358238495794
65,Breeding,0,0.8673286991062563,0.965385161015747,-0.9930770322031495,-0.846153846153846,0.9487179487179485,0.09950347567030786,-0.9930770322031495,0.1495531281032771,0.8033763654419068,0.7948717948717947,0.6812597531564761,0.04156358238495794
66,Non-breeding,0,0.9073911193077033,0.9058022414526884,-0.9869485033338062,-0.5384615384615383,0.7179487179487178,0.4791317917435097,-0.9869485033338062,0.4433820400056746,0.35031919421194496,0.5897435897435896,0.7887359909206981,0.07009731156193304
66,Breeding,0,0.7573556532841539,0.8952475528443752,-0.993871471130657,-0.7948717948717947,0.9230769230769229,0.7266562632997589,-0.993871471130657,-0.11766207972762095,0.5828628174209108,0.7435897435897434,0.8733437367002412,0.07009731156193304
67,Non-breeding,0,0.8381046957015181,0.9753156476095901,-0.9819548872180451,-0.8717948717948716,0.23076923076923073,0.7271669740388709,-0.9819548872180451,0.5526741381756278,-0.3491842814583629,-0.05128205128205127,0.11357639381472551,0.23416250581020498
67,Breeding,0,0.6160022698255072,0.9341750602922401,-0.9910341892467018,-0.9999999999999998,0.4871794871794871,0.5720244006242021,-0.9910341892467018,0.47697545751170384,0.6014186409419777,-0.6410256410256409,0.32489714853170665,0.23416250581020498
68,Non-breeding,0,0.9546602354943964,0.9732728046531424,-0.9661228543055753,-0.7179487179487178,0.8717948717948716,-0.08089090651156193,-0.9661228543055753,-0.5040431266846361,0.4020712157752873,0.7179487179487178,0.8157469144559513,-0.18129338911130102
68,Breeding,0,0.9191942119449569,0.9551709462335084,-0.991204426159739,-0.9487179487179485,0.7948717948717947,-0.48594126826500217,-0.991204426159739,0.5329266562632998,0.8701659809902115,0.6153846153846153,0.7288125975315648,-0.18129338911130102
69,Non-breeding,0,0.931905234785076,0.9736700241168961,-0.9900127677684778,-0.4102564102564102,0.7948717948717947,0.2756419350262449,-0.9900127677684778,0.3021421478223862,0.17696127110228402,0.6666666666666665,0.5443892750744787,0.5550207667971151
69,Breeding,0,0.8861682508157186,0.9388282025819266,-0.9949496382465599,-0.8974358974358972,0.7179487179487178,0.5863243013193361,-0.9949496382465599,0.30514966661937865,0.8404880124840404,-0.05128205128205127,0.43515392254220464,0.5550207667971151
70,Non-breeding,0,0.8224428997020854,0.9778692013051498,-0.9790041140587319,-0.8974358974358972,0.5897435897435896,0.7586608029507733,-0.9790041140587319,0.44996453397645064,-0.22967796850617112,0.05128205128205127,0.618101858419634,-0.28569714962589776
70,Breeding,0,0.6741098028089091,0.9297489005532701,-0.9908072066959854,-0.9487179487179485,0.6410256410256409,0.7289828344446022,-0.9908072066959854,0.4735707192509576,0.6259327564193503,-0.17948717948717946,0.5803092637253512,-0.28569714962589776
71,Non-breeding,0,0.8743084125407861,0.9728188395517096,-0.9435380905092922,-0.23076923076923073,0.3589743589743589,0.8923535253227409,-0.9435380905092922,-0.08026670449709179,-0.5013760817137184,0.3589743589743589,0.5257767059157328,0.050769945871380805
71,Breeding,0,0.7452120868208256,0.967598240885232,-0.9870052489714853,-0.8717948717948716,0.05128205128205127,0.8327706057596823,-0.9870052489714853,0.6804085685912896,0.4399773017449284,-0.10256410256410255,0.3733011774719818,0.050769945871380805
72,Non-breeding,0,0.8346999574407717,0.9377500354660236,-0.9642502482621649,-0.8974358974358972,0.3846153846153845,0.7273372109519081,-0.9642502482621649,0.4838984253085545,-0.21889629734714144,-0.025641025641025637,0.5666335650446872,-0.34664807401076575
72,Breeding,0,-0.005759682224428997,0.7378918995602214,-0.9943821818697688,-0.8205128205128204,0.15384615384615383,0.8264718399773019,-0.9943821818697688,-0.5010923535253228,0.26355511420059585,-0.5384615384615383,0.3719392821676834,-0.34664807401076575
73,Non-breeding,0,0.5816144133919705,0.9645907220882396,-0.9859270818555824,-0.8205128205128204,0.6923076923076922,0.46698822528018163,-0.9859270818555824,0.5477940133352249,-0.3645623492694,0.0,0.6274081429990069,0.06580900544285007
73,Breeding,0,0.853993474251667,0.9266278904809194,-0.9919988650872464,-0.9743589743589742,0.6666666666666665,0.5259469428287701,-0.9919988650872464,-0.48979997162718125,0.738232373386296,0.15384615384615383,0.49490707901830056,0.06580900544285007
74,Non-breeding,0,0.9000141864094199,0.9592566321464038,-0.98291956305859,-0.6410256410256409,0.15384615384615383,0.7361327847921691,-0.98291956305859,-0.7297205277344304,-0.5428003972194638,-0.10256410256410255,0.5748049368704782,-0.4568245543010511
